"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr2","Tem_irr3"
"2410004B18Rik",1635,1406,1479,1765,1764,1225,1127,1429,1565,1895
"Bcl10",3723,4668,5983,4869,3614,3468,3993,3366,4088,4824
"Mcoln2",632,1928,2031,2052,1103,1683,1579,1565,1394,2231
"Rpf1",2570,2494,3050,4899,3899,2833,2579,2861,3950,4151
"Ctbs",624,321,380,394,378,843,445,381,418,684
"Gng5",7353,6505,7321,6574,6711,7626,8734,8812,9101,9514
"Ifi44",661,436,176,298,192,3562,2887,1582,1915,1083
"Dnajb4",1122,747,903,1519,1559,880,726,653,997,1228
"Fubp1",7657,8447,6655,7802,8037,7508,8496,8480,7435,10282
"Usp33",4176,4192,3773,4749,4453,2906,3660,2701,4659,3394
"Rabggtb",1146,1419,1478,1014,841,1379,1895,1863,917,1322
"Acadm",1832,3580,3443,3448,3455,3271,3367,2517,4167,3352
"Cryz",403,144,412,462,244,1028,606,336,701,484
"Fpgt",1977,1318,1378,3021,2501,1659,1981,2395,2171,2832
"Zranb2",3690,3729,2754,4111,2928,4327,4045,3909,5409,4451
"Mir186",12,9,0,16,11,2,3,7,8,0
"Lrrc40",1445,1151,804,1265,1646,1226,1592,923,1156,1248
"Srsf11",10447,10010,10689,11896,8830,8811,8052,9541,8546,11517
"Ankrd13c",1919,1069,1501,2704,1674,1858,1638,1684,1002,1357
"Nrd1",7941,6775,5503,7421,6876,5864,5501,4632,5634,8329
"Rnf220",4635,9616,3127,4796,2450,5711,6883,6406,2218,2494
"Orc3",4190,4880,4712,5337,5371,5407,4209,6267,5961,6688
"Gne",1896,3386,3084,4272,3059,4843,5187,5402,7616,8798
"Erp44",4591,6836,6887,8960,7883,8509,7627,8213,9804,11464
"Tstd2",1180,1387,1108,1644,1097,1632,1038,800,882,1530
"Vcp",14834,19892,22259,22761,23747,24860,23978,18959,22292,27330
"Inpp5b",6253,8257,8703,11471,13917,8409,7075,7666,8061,14660
"Wasf2",2878,4232,1336,1261,1057,1899,2383,2135,1390,1134
"Hnrnpr",3889,4851,4530,5571,4903,3901,5336,4494,4403,5465
"Clic4",8522,9831,8713,8073,10580,10422,9229,6342,8959,8538
"Ubr4",5911,8223,7348,5233,5005,7820,6948,8628,4300,5168
"Nol9",4161,4998,4188,4261,3562,4258,3844,3780,3085,4974
"Noc2l",6182,9843,8013,8242,7047,8061,6981,8524,6123,8709
"Nsmaf",10141,10550,6953,11508,9911,9375,9138,10349,8676,9581
"Chd7",2709,5643,2973,4757,5004,3123,5028,5022,2288,2937
"2610301B20Rik",516,926,976,1244,1279,637,380,825,1298,1058
"Otud6b",2571,1867,1878,2373,2752,2188,2137,2120,2362,2438
"Nbn",1955,2032,1407,2102,1490,2102,1764,2081,1793,1463
"Cpne3",3420,3100,2477,4593,4506,3755,5693,4534,3646,3892
"Wwp1",2443,2345,1823,2400,2609,5197,5659,3410,3691,2546
"Ggh",1167,1400,1261,2015,2672,1486,1493,1114,3251,2843
"Coq3",410,833,685,628,890,549,946,1085,1474,1225
"Ccnc",1916,3019,1888,3732,3490,3257,2558,2764,4196,4377
"Tstd3",504,477,747,1365,1345,851,475,1048,1215,1046
"Ndufaf4",2215,1537,1466,1910,1540,1821,1987,2264,2626,2335
"Manea",746,868,899,1154,1657,1174,791,1608,451,1293
"Map3k7",2193,3287,765,1234,491,1310,3124,4075,565,712
"Casp8ap2",2416,2638,1986,2805,2562,2447,2566,2672,1384,2858
"4933421O10Rik",6,94,104,98,204,120,159,246,225,300
"Zfp292",5104,4038,1813,3814,2906,4385,4080,3927,2083,2672
"Ddx58",4463,5140,5506,6495,4570,10724,8249,10119,7328,10624
"Nfx1",6920,7866,7322,10695,8802,6372,6931,7140,6236,9318
"Ube2r2",6685,6587,2688,1803,1410,2611,4333,3420,2212,1355
"Reck",498,2179,1410,2685,1358,3396,3092,3689,2758,4163
"Tdrd7",2944,1674,1823,658,516,2578,2671,994,1800,1010
"Dcaf10",1016,1684,776,772,742,729,1174,1243,993,590
"Hemgn",958,2022,781,677,230,0,2,74,0,0
"Trim14",3955,5396,6632,5760,6983,8638,8971,9350,9496,9327
"Ptbp3",14983,11199,9973,13561,13147,15338,13779,14134,8368,11598
"Snx30",2139,3398,2992,1022,409,986,756,445,270,467
"Rgs3",2454,3630,3798,6440,5946,5052,3816,3836,3330,5826
"Slc31a1",1991,2147,1851,985,1139,1878,1508,1349,2068,1756
"Tmem268",2488,2212,2511,1340,1265,3083,2987,1897,2827,3039
"Kdm4c",1737,3668,3218,3768,4232,2776,2718,2009,3077,4724
"Ttc39b",2278,3079,2316,4280,3259,5863,5669,6268,2841,6755
"Dennd4c",1601,3756,1251,3859,3249,3484,2752,4268,885,2047
"Jak1",51456,65494,58371,86265,101954,48694,54443,61024,43897,68514
"Mier1",3316,4589,2119,4122,3674,4724,4354,4302,2732,3372
"Usp24",4121,4760,1684,1923,2470,2148,3913,4528,1282,1688
"Yipf1",3134,3864,3514,2992,4073,3541,3243,3157,4860,4528
"Cyb5rl",626,509,512,461,584,284,259,569,172,32
"Zyg11b",800,1698,1444,1469,1865,1776,1470,1837,1476,1160
"Eps15",9342,8584,5439,6991,5604,6193,6620,6501,5435,6294
"Osbpl9",11135,10982,10904,9072,8577,9647,9563,7300,9727,9280
"Mknk1",4145,3444,4537,2855,2999,3438,3488,2348,3969,3528
"Faah",2518,4206,4020,2831,2643,2850,2818,3879,1868,3700
"Eif2b3",849,1436,1466,2245,2016,1249,1671,2211,2196,2460
"Ipp",632,641,1062,824,1211,833,960,773,1680,1623
"Smap2",10226,14184,9060,8317,8286,7183,7110,7732,5926,7829
"Macf1",9365,14271,6503,6151,6733,6694,6713,10194,3264,4949
"Gnl2",4436,4435,4923,4251,4781,3989,3475,3997,3282,5488
"Ncdn",2263,4368,3125,3432,3224,2567,3261,2814,2651,3719
"Zbtb8a",428,783,799,933,1059,425,703,842,947,1292
"Txlna",4789,6289,7486,5795,6078,3663,3972,3572,3371,5743
"Pum1",6574,8395,5436,6143,6303,6267,6353,7667,4483,6392
"Sdc3",15766,13676,6264,2180,3320,32222,49923,14310,6914,2716
"Epb41",6993,15615,11702,14848,17571,6330,7098,6513,5882,7723
"Mecr",793,748,1127,817,562,1111,993,995,1880,1187
"Fam76a",1440,1654,1389,1884,2291,2364,1715,1539,777,1253
