"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr2","Tem_irr3"
"Ndufs7",16.6299476,23.19545376,29.15870985,22.73165411,20.48721836,17.47338223,19.83759879,18.80170681,26.13125999,25.66209998
"2310011J03Rik",37.68696543,38.8237063,42.45566023,34.57507263,41.75734692,27.20432874,29.67663357,28.52161591,35.34369052,39.37396204
"Gamt",0.93008815,0.183150737,1.90174317,0.837330384,0,0.728636474,0.790746174,0.065102568,0.276598777,0.053978317
"Tcf3",7.278553725,9.996380748,9.990699865,8.885229335,8.519828811,4.719891246,4.379473702,5.390752379,5.474358286,6.39397306
"Uqcr11",28.83311054,34.92579226,38.4884961,28.31591905,26.14956795,35.05014001,36.80162026,33.27726917,43.75642974,35.93188295
"Mbd3",14.64466422,21.12432969,14.30090468,10.50114043,10.98114932,10.44092236,12.49773361,12.00726663,7.724452893,9.749005928
"Klf16",1.174603382,1.664075667,0.525172027,0.922229347,0.622764471,1.013639453,1.252406183,0.822176867,0.465753501,0.575648737
"Adat3",1.34006861,1.774701877,2.699167379,1.770756486,1.522669139,1.17868548,1.013597966,1.79007179,0.951085162,2.013979041
"Rexo1",2.900694372,4.802229369,3.242624785,2.121786025,2.149768168,3.000769322,2.796678621,3.830019165,1.222339315,2.29981132
"Abhd17a",21.94430474,22.71918761,30.44641451,19.61291179,20.6129575,17.08897275,15.55898641,15.89029517,18.36839254,17.49458593
"Mknk2",27.44299319,39.45542591,9.085788157,7.175265203,8.277952555,9.463130493,20.45658526,26.70768684,6.101735958,6.924742359
"Csnk1g2",2.557816308,8.402436292,1.171694629,1.25459317,0.927979822,1.455905619,3.296263291,4.999539728,1.317716906,1.080245885
"Btbd2",1.266042682,2.669841703,0.403643705,0.328444364,0.325732582,0.507256061,2.081820456,1.848089851,0.247882941,0.523681161
"Izumo4",8.890157986,10.48217888,12.41433618,12.62925207,12.51517202,11.79502488,10.88745493,10.93701709,15.90173717,17.25254452
"Mob3a",22.91870668,36.90135838,39.97952217,43.20444551,49.11324377,31.10825151,25.37995885,34.60632668,35.6234679,47.56735321
"Sf3a2",3.846716049,6.116831676,1.349572167,0.897326407,0.937587693,1.809989227,3.144386489,3.323743994,0.504780379,0.978885581
"Plekhj1",51.1906209,55.62991731,51.31034268,49.45482583,53.6493974,39.71070641,35.50742924,45.44768918,48.77615463,49.15531251
"Lsm7",13.30656156,17.82729785,22.71891646,17.10025623,12.66871981,15.9843907,12.80270848,17.62625451,18.4952756,16.12596564
"Sppl2b",2.147232014,4.391231156,5.009278144,3.939641328,3.498365742,2.263351126,2.253384797,1.998949044,0.99710735,2.5902902
"Dot1l",0.944183128,0.501312358,0.239582224,0.247105648,0.243174338,0.347020407,0.383507585,0.32977824,0.170255663,0.230734978
"Lmnb2",0.75991475,1.40709479,1.879092307,1.758968633,1.170612537,1.184115466,1.151710741,1.545590078,1.052430428,1.384599409
"Gadd45b",20.27696029,13.73752945,24.26278902,18.3450761,13.08648662,12.81025208,11.77107637,7.71250149,10.91446019,7.979720647
"Timm13",52.13360602,74.86196015,94.1316026,63.79300691,62.0543344,60.4098707,61.00033967,56.73981094,76.17478602,72.79641864
"Sgta",7.695914106,6.618524912,9.411594826,7.068571864,7.298585271,7.176481984,6.070932975,5.749227276,6.501753723,8.008677097
"Thop1",0.711151141,0.711458361,1.340164561,1.406113371,1.162745718,0.973909839,1.055503389,1.40579444,0.853249258,0.834100748
"Slc39a3",6.193667766,3.656091734,6.08877189,4.049027927,3.542801482,3.158268223,2.984586369,2.041090737,4.347376928,5.116075974
