"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr1","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr1","Tem_irr2","Tem_irr3"
"Gna15",2077,2421,4322,2110,5877,7287,5001,2983,3688,5883,8577,8882
"Celf5",8,10,6,0,0,18,48,82,131,191,118,118
"Tle6",0,48,6,416,0,17,75,14,5,70,0,0
"Ankrd24",88,135,124,46,55,92,231,111,185,178,191,98
"Gna11",1260,2002,1420,855,1395,1840,1622,1703,1641,1764,1403,1735
"BC025920",268,168,256,391,205,128,149,316,171,273,438,250
"Sirt6",327,456,745,586,519,626,851,691,846,692,455,812
"Tle2",179,89,49,50,128,24,82,0,42,28,0,100
"Aes",4838,12504,1934,1537,1902,2018,1819,7910,8881,14266,1686,2317
"Zfp433",177,432,264,259,369,306,284,172,255,206,244,308
"AU041133",290,276,475,333,344,669,612,334,481,274,506,561
"Zfp938",298,566,512,946,635,968,800,885,812,426,1757,1115
"Tdg",0,0,1,1,0,0,0,0,0,0,0,0
"1190007I07Rik",739,583,505,945,548,408,463,679,581,398,475,646
"Glt8d2",81,0,0,0,0,0,39,45,0,0,0,0
"Nfyb",1984,3069,2743,2321,2951,3924,2247,1935,2806,3154,3426,4194
"1700028I16Rik",156,30,24,0,0,0,0,0,2,0,0,0
"Eid3",0,2,6,0,0,0,0,0,0,0,0,0
"Slc41a2",834,565,365,294,104,390,66,279,46,43,221,90
"Washc4",6467,7167,4826,5301,5972,6162,6254,5390,5165,3997,3841,3529
"Ckap4",1033,697,86,30,32,36,130,397,161,130,12,20
"4930463O16Rik",0,0,0,0,0,0,0,4,0,0,0,0
"Tcp11l2",15409,18187,20724,19402,16957,17227,9731,9966,10285,8571,15506,16929
"Platr7",0,3,53,0,0,0,6,3,0,0,0,0
"Cry1",1705,2649,3112,1628,5117,5893,1706,2687,2482,2825,3370,3225
"Tmem263",834,1585,626,610,1134,2279,913,1677,1787,1306,864,1526
"Fhl4",0,140,22,0,0,78,0,92,68,26,0,94
"Mterf2",946,532,719,781,513,794,393,274,635,392,834,548
"Prdm4",3004,2566,2033,2068,2198,2008,1442,2124,1867,1269,1028,2016
"Rtcb",8667,11707,9035,8453,11359,9094,8163,6664,9333,7281,10087,13180
"Ascl4",8,0,48,0,0,0,14,4,0,0,0,0
"Pwp1",3640,4499,4438,4787,4029,4312,4023,3229,4430,3082,3688,5805
"Fbxo7",1249,3146,3502,2788,3398,3343,3035,2818,2697,2001,3135,3191
"Timp3",0,2,54,56,2,0,0,50,6,0,0,74
"Hsp90b1",30011,27698,31654,32021,33973,34230,37891,37431,32978,25894,31847,34534
"1810014B01Rik",30,252,304,1084,314,439,429,430,315,342,729,387
"Nt5dc3",71,280,124,82,150,72,78,144,91,206,36,110
"Ascl1",0,0,0,0,0,0,0,0,7,0,0,0
"Igf1",3260,2341,2939,3073,1565,2992,8849,9972,3168,4177,8226,1545
"Tyms-ps",0,2,2,2,2,4,0,8,0,6,0,6
"Nup37",384,848,980,1257,767,664,1192,960,835,813,1419,961
"Pmch",0,0,2,0,0,0,0,0,0,0,0,0
"Parpbp",10,85,27,0,11,98,10,66,30,10,0,0
"Sycp3",2,6,2,0,2,14,19,8,6,9,0,10
"Gnptab",2479,4876,3411,2714,7191,6703,3898,4911,5802,5492,3017,4604
"Spic",9185,6249,9298,6052,3365,5738,21813,21771,5923,10354,21580,5027
"Gm4925",34,0,20,0,0,0,54,12,0,44,0,38
"Utp20",677,1561,685,1083,574,726,1341,1362,2740,1739,680,666
"Slc5a8",0,1,0,0,0,0,20,16,0,0,0,0
"Gas2l3",140,16,60,0,0,114,112,178,62,60,114,54
"Slc17a8",10,0,0,0,2,0,0,0,0,0,0,0
"Actr6",1247,1596,1135,1598,2488,2209,1759,1881,1816,1348,2168,2316
"1500026H17Rik",36,12,44,0,10,12,61,36,25,46,88,8
"Apaf1",1980,2043,1325,604,1804,2425,3342,3894,4508,5099,2566,6035
"Tmpo",10721,7836,7798,11666,8456,7791,6977,7257,7349,5285,5533,7531
"Slc25a3",13526,17008,16560,15411,16197,17361,15502,16215,17239,15695,21965,23503
"Nedd1",2646,2965,2925,2007,2782,3105,2006,2740,2867,2413,2696,3287
"Mir1931",16,4,4,1,32,24,4,15,0,18,1,5
"Elk3",2334,2219,1478,2307,2279,1924,1078,1744,1495,2319,1344,1536
"Gm17745",178,40,59,16,40,64,0,40,6,26,0,34
"Mir7688",0,2,0,2,0,4,9,0,2,0,4,0
"Hal",0,2,11,0,0,13,0,14,0,4,96,42
"Amdhd1",93,28,7,0,58,0,50,18,19,36,18,88
"Ccdc38",6,6,16,0,0,0,10,17,35,0,12,103
"Gm8580",47,0,0,2,2,0,0,2,0,0,0,2
"4933408J17Rik",0,0,37,0,0,0,2,14,0,0,1,1
"Gm15915",0,8,51,70,2,0,0,1,8,0,0,4
"Metap2",7813,11099,8447,8981,10124,7501,6885,7216,8253,6297,9751,7943
"Ndufa12",2520,2645,3232,3442,2747,3047,3117,3034,3283,2904,4893,4590
"Nr2c1",404,804,616,898,1248,1231,613,766,817,530,863,1069
"Gm4792",0,0,0,0,0,0,18,0,0,19,0,0
"Tmcc3",1360,927,841,1389,392,317,2609,2180,635,774,966,397
"Mir7211",0,0,0,0,0,0,0,0,4,0,0,0
"Cep83os",265,336,445,1209,390,296,374,382,419,406,787,215
